,Pontiffnumber,Pontificate,Name: English· Latin,Date and Place of birth,Age at start/end of papacy,Notes
0,6,"27 October 105 –3 May 115(9 years, 188 days)",St Alexander IALEXANDER,"c. 75 AD Rome, Italia, Roman Empire[birth 4]",30 / 40,"Roman. Inaugurated the custom of blessing houses with holy water. Also revered as a saint in Eastern Christianity, with a feast day of 18 March."
1,7,"3 May 115 –3 April 125(9 years, 335 days)",St Sixtus ISYXTVS,"42 AD Rome, Italia, Roman Empire[birth 4]",73 / 83,"Greek. Feast day of 6 April. Also revered as a saint in Eastern Christianity, with a feast day of 10 August."
2,8,"3 April 125 –5 January 136(10 years, 277 days)",St TelesphorusTELESPHORVS,"c. 67 AD Terra Nova, Italy, Roman Empire",58 / 69,"Greek. Feast day of 5 January. Also revered as a saint in Eastern Christianity, with a feast day of 22 February. Church Father St. Irenaeus called him a great martyr; the earliest attested martyrdom of pope after St. Peter."
3,9,"5 January 136 –11 January 140(4 years, 6 days)",St HyginusHYGINVS,"c. 74 Athens, Achaea, Roman Empire[birth 3]",58 / 62,Greek. Tradition holds he was martyred; feast day 11 January.
4,10,"11 January 140 –11 July 155(15 years, 181 days)",St Pius IPIVS,"c. 81 AD Aquileia, Italy, Roman Empire[birth 6]",59 / 74,"Roman, brother of Hermas. Martyred by sword; feast day 11 July. Decreed that Easter should only be celebrated on a Sunday."
5,11,"11 July 155 –20 April 166(10 years, 283 days)",St AnicetusANICETVS,"c. 92 AD Emesa, Syria, Roman Empire[birth 7]",63 / 74,Hellenized Syrian; first Syrian pope. Tradition holds he was martyred; feast day 17 April. Decreed that priests are not allowed to have long hair.
6,12,"20 April 166 –22 April 174(8 years, 2 days)",St SoterSOTERIVS,"c. 119 AD Fundi, Italia, Roman Empire[birth 6]",46 / 55,Greek. Tradition holds he was martyred; feast day 22 April. Declared that marriage was valid as a sacrament blessed by a priest; formally inaugurated Easter as an annual festival in Rome.
7,13,"22 April 174 –26 May 189(15 years, 34 days)",St EleutheriusELEVTHERIVS,"c. 130 AD Nicopolis, Epirus, Roman Empire[birth 8]",45 / 59,Greek. Tradition holds he was martyred; feast day 6 May.
8,14,"26 May 189 –28 July 199(10 years, 63 days)",St Victor IVICTOR,"c. 155 AD Africa, Roman Empire[birth 9]",34 / 44,Roman Berber; first pope to have been born on the continent of Africa. Known for excommunicating Theodotus of Byzantium. Quartodecimanism controversy.
9,15,"28 July 199 –20 December 217(18 years, 145 days)",St ZephyrinusZEPHYRINVS,"c. 160 AD Rome, Italia, Roman Empire[birth 4]",39 / 57,"Roman. Combated against the adoptionist heresies of the followers of Theodotus the Byzantium who were ruled by Theodotus and Asclepiodotus. Although not physically martyred (murdered), he is called a martyr for the suffering he endured."
10,—,"c. 199 –c. 200(1 year, 0 days)",NataliusNATALIVS,"Rome, Italia, Roman Empire[birth 4]",—,Roman. In opposition to pope Zephyrinus. Later reconciled.
